system_id,tier,family,generated_state_count,order,depth,nonlinear,trig,expected_failure,overall_pass,benchmark_result,failure_category,failure_stage,rmse,max_abs_error,robustness_score,graph_node_count,simulink_block_count,build_time_sec,simulation_time_sec
syn_s1_d1_u0_f0,tier1_verified,legacy::linear_first_order,1,1,1,False,False,False,True,pass,,,4.2308234888418206e-12,1.1851311598753966e-11,,5,9,27.142559250001796,1.2788314580102451
syn_s1_d1_u0_f1,tier1_verified,legacy::linear_dense_coupled,1,1,1,False,False,False,True,pass,,,3.84647145434705e-12,1.1940899657947313e-11,,5,9,1.1204615000169724,0.19996016600634903
syn_s1_d1_u0_f2,tier1_verified,legacy::nonlinear_polynomial,1,1,1,True,False,False,True,pass,,,1.1334106771236824e-11,3.050343311272741e-11,,11,14,1.8970236669993028,0.1948955410043709
syn_s1_d1_u0_f3,tier1_verified,legacy::nonlinear_trigonometric,1,1,1,True,True,False,True,pass,,,6.584430376525043e-12,1.889494116724677e-11,,17,15,1.913221875031013,0.20201129204360768
syn_s1_d1_u0_f4,tier1_verified,legacy::linear_mixed_order,1,2,1,False,False,False,True,pass,,,4.096625646875348e-12,1.651754427678398e-11,,10,16,1.8933342919917777,0.1857399590080604
syn_s1_d1_u0_f5,tier1_verified,legacy::nonlinear_mixed_order,1,2,1,True,True,False,True,pass,,,1.4799620748532254e-11,4.3322456733108083e-11,,16,17,2.1598562499857508,0.1838359579560347
syn_s2_d1_u0_f0,tier1_verified,legacy::linear_first_order,2,1,1,False,False,False,True,pass,,,4.538929218591408e-12,1.471936461605594e-11,,13,22,2.7173254580120556,0.1986047500395216
syn_s2_d1_u0_f1,tier1_verified,legacy::linear_dense_coupled,2,1,1,False,False,False,True,pass,,,4.7724990709274255e-12,1.4273970894151944e-11,,13,22,2.503977374988608,0.20808837504591793
syn_s2_d1_u0_f2,tier1_verified,legacy::nonlinear_polynomial,2,1,1,True,False,False,True,pass,,,1.2029083124028897e-11,3.143360571833398e-11,,20,28,3.1657081249868497,0.16924012498930097
syn_s2_d1_u0_f3,tier1_verified,legacy::nonlinear_trigonometric,2,1,1,True,True,False,True,pass,,,1.636084623632567e-10,7.039729355007296e-10,,25,31,3.3879652920295484,0.18390112498309463
syn_s2_d1_u0_f4,tier1_verified,legacy::linear_mixed_order,2,2,1,False,False,False,True,pass,,,1.872135692224446e-12,5.754556553494439e-12,,17,28,3.013197374995798,0.25181066599907354
syn_s2_d1_u0_f5,tier1_verified,legacy::nonlinear_mixed_order,2,2,1,True,True,False,True,pass,,,4.41803382827337e-12,1.712779917895091e-11,,31,38,3.2778686249512248,0.1851465409854427
syn_s3_d1_u0_f0,tier1_verified,legacy::linear_first_order,3,1,1,False,False,False,True,pass,,,4.844924060224778e-12,2.0042342785409062e-11,,18,32,3.7423836670350283,0.21712795802159235
